Locus_tags,TSS_ID,Gene Symbols,Max_Norm_Reads,DK_vs_CT_log2FoldChange,DK_vs_CT_padj,HL_vs_CT_log2FoldChange,HL_vs_CT_padj,Product
M744_RS04360,gTSS-8462841909.62 ,-1.7,9.46E-11,1.72,4.86E-13,0,9.97E-01,
M744_RS04365,gTSS+84594015760.66 ,3.98,7.50E-60,0.07,8.16E-01,-0.85,4.03E-03,
M744_RS04380,gTSS+84936211384.62 ,1.04,1.03E-05,-0.47,6.01E-02,-0.62,3.20E-02,
M744_RS04385,gTSS-851141,hisB,1899.86,1.11,1.52E-06,0.44,7.37E-02,imidazoleglycerol-phosphate dehydratase
M744_RS04390,gTSS+851221,ycf65,33589.5,0.5,2.78E-02,3.16,3.38E-46,30S ribosomal protein Ycf65
M744_RS04395,gTSS-8530123230.67 ,1.61,3.52E-13,-0.36,1.37E-01,-0.37,2.14E-01,
M744_RS04400,gTSS+853300,psaI,12480.94,-3.72,1.60E-32,-3.8,1.12E-33,photosystem I reaction center subunit VIII
M744_RS04405,gTSS+853447,psaL,1499.38,-4.16,8.38E-31,-3.49,1.79E-28,photosystem I reaction center subunit XI
M744_RS04410,gTSS-8552261312.44 ,-2.82,3.02E-26,0.43,8.79E-02,-0.11,7.66E-01,
M744_RS04415,gTSS-8566196659.20 ,2.07,1.24E-25,3.23,1.43E-60,-0.07,8.23E-01,
M744_RS04420,gTSS-857681,rfaE,1081.08,-0.86,1.06E-03,1.07,2.17E-05,ADP-heptose synthase
M744_RS04425,gTSS-85866412413.01 ,-0.35,1.45E-01,1.72,1.01E-13,-1.12,1.63E-05,
M744_RS04430,gTSS+85883510212.52 ,-1.31,1.57E-06,0.89,1.50E-03,-0.08,8.57E-01,
M744_RS04455,gTSS-865879,petB,14907.22,-2.1,1.80E-18,0.73,3.54E-03,cytochrome b6
M744_RS04470,gTSS-869667653.53 ,-1.81,1.52E-10,-1.07,9.43E-05,-0.18,6.34E-01,
M744_RS04475,gTSS+869687850.19 ,-5.45,2.83E-30,-0.62,4.40E-02,-2.18,8.59E-12,
M744_RS04485,gTSS+8714531036.16 ,-0.58,2.97E-02,1.96,1.90E-16,-0.61,4.17E-02,
M744_RS04495,gTSS-873387,grxC,2568.9,2.29,2.28E-25,0.3,2.28E-01,glutaredoxin 3
M744_RS04500,gTSS-873847,gatC,1694,-1.2,1.23E-04,2.68,1.68E-23,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
M744_RS04505,gTSS-874378,ycf3,1024.19,0.52,3.43E-02,0.58,2.13E-02,photosystem I assembly protein Ycf3
M744_RS04525,gTSS+875881,ctaA,1099.92,2.34,5.96E-15,0.41,2.15E-01,copper-transporting ATPase SynA
M744_RS04530,gTSS-879352,atpE,9883.78,-0.14,5.08E-01,1.76,1.14E-18,ATP synthase epsilon chain
M744_RS04540,gTSS+880799,groES,60798.15,-0.1,7.81E-01,0.15,7.00E-01,co-chaperone GroES
M744_RS04550,gTSS-884045,murG,1277.04,-3.21,5.78E-15,2.33,6.74E-16,undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
M744_RS04555,gTSS+8840644957.22 ,-0.53,1.04E-02,0.92,1.02E-05,-0.51,4.23E-02,
M744_RS04565,gTSS+8851332025.41 ,-0.16,4.61E-01,0.72,4.84E-04,-0.22,4.30E-01,
M744_RS04575,gTSS-888624,gcvT,1685.34,3.77,8.72E-57,1.06,3.21E-05,aminomethyltransferase
M744_RS04600,gTSS-893079,folP,567.99,-2.02,1.24E-08,1.09,4.08E-04,dihydropteroate synthase
M744_RS04610,gTSS-89395646212.41 ,4.09,2.28E-87,-2.18,4.16E-24,1.11,2.50E-06,
M744_RS04620,gTSS-894866,rps15,162890.44,-2.05,5.29E-24,2.8,3.71E-43,30S ribosomal protein S15
M744_RS04630,gTSS+895728,tal,10526.53,2.11,3.29E-22,-2.16,1.77E-21,transaldolase
M744_RS04645,gTSS-900348707.41 ,-3.18,1.51E-22,0.07,8.24E-01,0.41,2.28E-01,
M744_RS04650,gTSS-901709787.37 ,-1.82,4.44E-12,0.1,7.16E-01,0.54,6.26E-02,
M744_RS04670,gTSS+904853,"ccmA, kdsA",2934.25,1.47,5.12E-10,-1.05,2.33E-05,2-dehydro-3-deoxyphosphooctonate aldolase
M744_RS04690,gTSS+908557,gldA,16436.97,3.3,5.44E-61,1.14,3.92E-08,oxidoreductase
M744_RS04695,gTSS+909026,todF,749.79,-0.69,1.76E-02,1.61,9.65E-10,"2-hydroxy-6-oxohepta-2,4-dienoate hydrolase"
M744_RS04700,gTSS-911468735.62 ,2.88,7.64E-21,-0.9,1.21E-02,0.36,4.13E-01,
M744_RS04705,gTSS+9114261019.92 ,1.11,3.62E-05,0.58,3.78E-02,-0.04,9.35E-01,
M744_RS04720,gTSS-916902,amtB,545.42,-3.39,2.31E-21,-1.37,6.20E-06,ammonia channel protein
M744_RS04725,gTSS-919398798.75 ,1.4,3.39E-08,0.26,3.56E-01,0.07,8.69E-01,
M744_RS04750,gTSS-923534,chlD,3904.45,1,9.62E-07,1.48,6.21E-13,magnesium-chelatase subunit ChlD
M744_RS04755,gTSS-924351544.25 ,-0.62,3.53E-02,-0.42,1.61E-01,0.06,8.90E-01,
M744_RS04765,gTSS+9248643635.14 ,0.75,1.10E-04,1.1,1.69E-08,0.14,6.33E-01,
M744_RS04770,gTSS+9253111803.50 ,4.19,1.32E-69,0.24,4.14E-01,0,9.98E-01,
M744_RS04795,gTSS-931225,proA,4426.95,3.53,5.54E-53,0.81,9.05E-04,gamma-glutamyl-phosphate reductase
M744_RS04800,gTSS+93151621496.60 ,2.36,2.89E-30,1,2.80E-06,0.35,2.00E-01,
M744_RS04805,gTSS+931895,hisS,759.9,-0.68,1.48E-02,1.51,4.00E-09,histidine--tRNA ligase
M744_RS04815,gTSS+934604595.94 ,-0.94,2.22E-03,0.67,2.43E-02,0.34,3.83E-01,
M744_RS04820,gTSS+9350614827.45 ,1.37,1.35E-08,1.88,1.08E-14,0.38,2.38E-01,
M744_RS04830,gTSS-9375424090.75 ,-1.54,6.17E-11,2.24,9.44E-25,-0.5,6.83E-02,
M744_RS04835,gTSS+937863812.48 ,1.12,5.45E-03,-0.19,6.89E-01,-1.47,1.82E-03,
M744_RS04855,gTSS+942505,ppc,7288.09,-1.39,1.17E-12,1.6,7.68E-17,phosphoenolpyruvate carboxylase
M744_RS04870,gTSS+945577,recF,613.23,-2.03,1.74E-04,3.24,7.70E-21,DNA replication and repair protein RecF
M744_RS04880,gTSS+9479329957.11 ,-3.95,1.59E-50,1.2,3.15E-06,-0.55,8.17E-02,
M744_RS04885,gTSS+948726,himA,1065.11,-3.1,6.84E-25,0.61,1.91E-02,DNA-binding protein
M744_RS04890,gTSS-9493499681.11 ,5.43,2.44E-148,-1.7,2.49E-11,1.72,4.83E-14,
M744_RS04900,gTSS-953783524.72 ,-2.83,2.78E-11,1.53,4.06E-07,-0.91,1.34E-02,
M744_RS04920,gTSS+954929,proA,2407.24,0.83,5.77E-05,-0.1,6.83E-01,gamma-glutamyl-phosphate reductase
M744_RS04935,gTSS+9586841394.53 ,-0.62,1.47E-02,0.84,7.84E-04,-0.48,1.26E-01,
M744_RS04975,gTSS+964970,rpl4,598.06,-1.46,5.48E-01,7.13,1.58E-04,50S ribosomal protein L4
M744_RS04990,gTSS+966675,rps19,1806.12,2.89,2.02E-24,0.06,8.69E-01,30S ribosomal protein S19
M744_RS04995,gTSS+967728,rpl22,651.16,-2.91,1.62E-03,4.68,1.85E-43,50S ribosomal protein L22
M744_RS05020,gTSS+969621,rpl14,799.94,1.15,5.37E-06,-0.12,6.85E-01,50S ribosomal protein L14
M744_RS05035,gTSS+971127,rps8,708.41,-0.11,7.21E-01,-1.58,4.33E-08,30S ribosomal protein S8
M744_RS05050,gTSS+972441,rps5,2005.33,-2.33,7.16E-24,0.67,2.36E-03,30S ribosomal protein S5
M744_RS05065,gTSS+974945,adk,850.85,2.12,1.32E-15,0.04,9.05E-01,adenylate kinase
M744_RS05110,gTSS+980136,prfA,1377.92,3.26,1.75E-31,-0.04,9.22E-01,peptide chain release factor 1
M744_RS05120,gTSS+981917,"alr, dal",2957.96,4.88,6.05E-101,-0.56,4.91E-02,alanine racemase
M744_RS05135,gTSS+983924,dnaE,616.32,0.7,6.60E-03,0.33,2.30E-01,trans-splicing intein-formed DNA polymerase III subunit alpha N-terminal partner DnaE-N
M744_RS05145,gTSS-9888041819.46 ,-1.3,2.16E-07,1.6,1.11E-11,-0.1,7.83E-01,
M744_RS05150,gTSS+9889101370.81 ,2.27,1.46E-18,-1.04,2.41E-04,0.7,2.83E-02,
M744_RS05185,gTSS+996920,"menF, entC",14435.3,3.55,1.74E-72,-1.2,9.93E-09,isochorismate synthase
M744_RS05190,gTSS+998210864.63 ,2.3,6.76E-16,-2.91,7.49E-15,0.73,3.79E-02,
M744_RS05205,gTSS-1001992919.53 ,1.24,3.27E-07,-0.25,3.64E-01,0.11,7.84E-01,
M744_RS05210,gTSS+1002126,rnhA,709.74,-2.49,1.00E-12,1.31,3.66E-06,ribonuclease HI
M744_RS05220,gTSS+10032673184.03 ,0.76,2.85E-04,-0.09,7.14E-01,-0.37,1.69E-01,
M744_RS05225,gTSS+1004532500.33 ,-2.96,1.89E-15,-0.4,2.52E-01,-1.21,1.15E-03,
M744_RS05230,gTSS+10050781131.57 ,-0.58,6.55E-02,-2.15,1.32E-11,0.94,8.68E-03,
M744_RS05265,gTSS-10124239119.33 ,3.62,2.28E-67,-2.35,6.48E-24,0.84,6.98E-04,
M744_RS05270,gTSS+1011722,dpsA,927.76,0.08,7.73E-01,0.23,4.30E-01,DNA starvation/stationary phase protection protein
M744_RS05280,gTSS+10129903521.65 ,3.32,9.80E-25,-1.45,3.48E-05,1.57,2.44E-05,
M744_RS05285,gTSS-1015816,pcrA,563,1.3,4.70E-06,1.71,1.31E-09,DNA helicase PcrA
M744_RS05290,gTSS+1015969565.52 ,-5.93,1.07E-03,-5.7,1.39E-03,-4.06,4.82E-02,
M744_RS05310,gTSS-10194621819.78 ,-4.46,8.00E-35,0.82,5.37E-03,-0.07,8.75E-01,
M744_RS05325,gTSS-1021798,"spt, agt",562.33,-2.09,6.51E-11,-0.26,4.25E-01,alanine--glyoxylate aminotransferase
M744_RS05330,gTSS-10230841030.48 ,-4.17,5.31E-27,1.21,3.37E-07,0.13,7.19E-01,
M744_RS05345,gTSS+1023606,glnA,2372.33,-1.95,3.87E-12,-0.22,4.78E-01,type I glutamate--ammonia ligase
M744_RS05355,gTSS+10253521223.83 ,-0.92,1.53E-03,0.26,4.09E-01,-0.41,2.70E-01,
M744_RS05360,gTSS-1026644753.45 ,-0.47,1.23E-01,-0.86,4.61E-03,1.07,1.11E-03,
M744_RS05365,gTSS+10268078533.76 ,3.16,4.29E-40,-1.03,4.60E-05,1.63,5.04E-10,
M744_RS05385,gTSS-10336862628.68 ,-0.99,1.21E-06,1.01,5.69E-07,-0.31,2.32E-01,
M744_RS05400,gTSS-10344741243.42 ,3.12,3.53E-40,1.13,4.99E-06,-0.17,6.47E-01,
M744_RS05405,gTSS+1034551845.50 ,-2.37,1.16E-10,2.04,1.65E-13,-0.02,9.71E-01,
M744_RS05410,gTSS+1035316538.14 ,2.64,1.27E-16,-0.62,9.89E-02,0.89,2.25E-02,
M744_RS05420,gTSS-1037603,trpB,9072.06,1.83,3.86E-21,0.5,1.49E-02,tryptophan synthase subunit beta
M744_RS05430,gTSS-10384533337.94 ,2.59,3.34E-27,-0.7,6.59E-03,-0.6,4.72E-02,
M744_RS05445,gTSS-10429002199.84 ,3.16,2.62E-36,-0.67,1.74E-02,0.1,8.22E-01,
M744_RS05450,gTSS-1043776518.14 ,1.6,3.40E-06,-2.33,3.37E-09,-1.48,3.26E-04,
M744_RS05455,gTSS-1047988,chlH,4334.05,-0.19,3.68E-01,-0.35,1.04E-01,magnesium chelatase subunit H
M744_RS05460,gTSS+1048167,dapB,992.55,-1.83,2.68E-11,0.69,8.48E-03,4-hydroxy-tetrahydrodipicolinate reductase
M744_RS05465,gTSS+1048926782.66 ,0.37,1.24E-01,0.55,2.41E-02,-0.13,7.20E-01,
M744_RS05480,gTSS-1053047,manB,1329.08,-1.85,4.30E-14,-1.45,1.01E-09,phosphoglucosamine mutase
M744_RS05485,gTSS-1053184,natD,1906.62,-2.18,9.69E-14,2.24,3.62E-20,hypothetical protein
M744_RS05495,gTSS-1056117818.12 ,1.43,6.70E-10,0.18,4.89E-01,0.15,6.77E-01,
M744_RS05505,gTSS+1056374,trxA,2986.4,0.76,1.37E-04,0.1,6.56E-01,thiol:disulfide interchange protein TxlA
M744_RS05510,gTSS-1057379,nblA,10576,-3.22,2.65E-26,-0.07,8.45E-01,phycobilisome degradation protein NblA
M744_RS05515,gTSS+10576445031.03 ,0.92,7.20E-04,1.26,4.96E-06,-1.11,3.95E-04,
M744_RS05525,gTSS+1057882,bcp,874.48,3.94,1.76E-38,-0.23,5.54E-01,histone deacetylase
M744_RS05540,gTSS+1061961112797.95 ,-0.86,1.81E-04,2.13,2.12E-20,0.1,7.89E-01,
M744_RS05545,gTSS+1062162101868.52 ,2.53,4.80E-40,2.63,2.64E-42,-0.15,6.04E-01,
M744_RS05555,gTSS+1064433981.11 ,-3.03,1.81E-25,-1.27,2.48E-06,-0.32,3.65E-01,
M744_RS05580,gTSS-1069702,"sasA, hik8",1925.73,-0.81,1.81E-04,-0.67,2.40E-03,ATPase
M744_RS05585,gTSS-1070769,kprS,9890.48,-1.32,1.67E-10,1.19,9.38E-09,ribose-phosphate pyrophosphokinase
M744_RS05590,gTSS+1070953669.81 ,-0.54,7.94E-02,1.16,5.69E-05,-0.64,7.16E-02,
M744_RS05595,gTSS-10724851121.01 ,-5.69,4.10E-18,1.68,3.21E-10,-0.94,3.05E-03,
M744_RS05600,gTSS+1072545,fmt,2909.55,2.16,8.18E-27,1.06,4.08E-07,methionyl-tRNA formyltransferase
M744_RS05615,gTSS+1076008,nrt1,604.38,-4.59,2.99E-17,0.94,1.68E-03,taurine ABC transporter substrate-binding protein
M744_RS05635,gTSS+1079929726.47 ,-1.44,1.94E-06,-1.15,8.73E-05,0.72,3.32E-02,
M744_RS05645,gTSS-1081567,rfbA,619.55,-1.69,6.98E-09,0.91,4.72E-04,glucose-1-phosphate thymidylyltransferase
M744_RS05680,gTSS-10890461205.37 ,4.6,3.84E-61,-1.44,2.89E-04,-0.2,6.71E-01,
M744_RS05695,gTSS-1093126,ndhF3,5439.02,-9.71,4.40E-23,-1.05,1.54E-01,oxidoreductase
M744_RS05710,gTSS-10965053752.35 ,1.05,9.13E-04,3.14,8.74E-24,-1.76,1.16E-06,
M744_RS05715,gTSS-1097347,hisF,1923.59,-0.94,1.29E-04,1.67,5.89E-13,imidazole glycerol phosphate synthase cyclase subunit
M744_RS05720,gTSS+109745813173.66 ,-3.08,2.96E-36,3.02,5.75E-43,-0.86,8.24E-04,
M744_RS05730,gTSS+1098689,chlG,3563.07,-1.02,7.53E-05,0.29,3.05E-01,chlorophyll synthase ChlG
M744_RS05735,gTSS-11009271278.30 ,-0.89,1.17E-04,0.27,2.73E-01,-0.02,9.68E-01,
M744_RS05740,gTSS+1100777,fus,4191.4,1.11,7.28E-06,-2.97,5.21E-31,elongation factor G
M744_RS05745,gTSS+1102950,wcaA,605.41,0.06,8.20E-01,-0.38,1.41E-01,glycosyl transferase
M744_RS05750,gTSS-1106542506.10 ,0.3,3.02E-01,0.46,1.13E-01,-0.96,3.03E-03,
M744_RS05755,gTSS+1106695,ack,2757.98,1.59,2.59E-06,1.39,6.09E-05,acetate kinase
M744_RS05780,gTSS-1111866,dnaJ,3456.88,-2.18,1.69E-18,0.99,4.54E-05,molecular chaperone DnaJ
M744_RS05815,gTSS-11211368797.53 ,3.43,3.21E-53,0.93,7.40E-05,0.14,6.82E-01,
M744_RS05820,gTSS+11211271278.09 ,1.43,3.82E-11,0.61,7.50E-03,0.24,4.40E-01,
M744_RS05825,gTSS-1123702,pheS,6238.95,-0.65,2.52E-03,1.57,6.44E-14,phenylalanine--tRNA ligase subunit alpha
M744_RS05830,gTSS+1123787,surE,2034.4,0.47,4.41E-02,2.38,2.31E-27,5'/3'-nucleotidase SurE
M744_RS05835,gTSS+1124617,"lcyE, crtL",680.79,-0.63,2.95E-02,1.44,5.79E-08,lycopene beta-cyclase
M744_RS05840,gTSS+1125935,pipX,4939.25,-3.92,1.64E-42,1.43,1.30E-08,hypothetical protein
M744_RS05860,gTSS-1129367,plsY,3518.77,-2.3,4.91E-20,1.67,7.29E-13,glycerol-3-phosphate acyltransferase
M744_RS05870,gTSS-1131200,ubiH,1482.22,1.17,2.48E-07,0.44,6.68E-02,2-octaprenyl-6-methoxyphenyl hydroxylase
M744_RS05880,gTSS-1134163930.59 ,0.51,3.53E-02,1.09,4.32E-06,-0.69,1.51E-02,
M744_RS05885,gTSS+11342562204.63 ,-3.28,5.45E-41,-0.1,7.16E-01,-0.07,8.49E-01,
M744_RS05890,gTSS+11351708086.68 ,2.9,1.20E-41,0.49,3.53E-02,0.15,6.44E-01,
M744_RS05895,gTSS-11379421945.55 ,-0.2,4.58E-01,0.79,2.31E-03,-0.04,9.37E-01,
M744_RS05905,gTSS+1140689,psaB,1007.36,3.17,3.44E-27,-2.07,5.80E-08,photosystem I P700 chlorophyll a apoprotein A2
M744_RS05915,gTSS-1146431,"gcsH, gcvH",1800.63,1.15,1.90E-07,-0.3,2.23E-01,glycine cleavage system protein H
M744_RS05920,gTSS+11467291565.23 ,-1.81,1.14E-09,2.16,2.52E-17,-0.1,8.15E-01,
M744_RS05930,gTSS+11517733341.75 ,0.29,3.34E-01,0.56,6.31E-02,1.01,2.37E-03,
M744_RS05940,gTSS-1154317550.03 ,-1.86,3.71E-05,2.52,8.58E-15,-0.51,2.56E-01,
M744_RS05950,gTSS+1155117638.87 ,-1.77,1.32E-06,2.26,8.83E-17,-0.35,3.67E-01,
M744_RS05955,gTSS+11563897190.26 ,0.09,6.87E-01,1.48,1.46E-11,-0.34,2.43E-01,
M744_RS05965,gTSS+11577281527.96 ,-1.28,8.05E-09,-1.57,8.09E-13,0.42,1.19E-01,
M744_RS05980,gTSS-1162160868.82 ,-2.34,2.06E-17,-0.31,2.65E-01,0.03,9.55E-01,
M744_RS05990,gTSS+1163448813.56 ,-2.53,3.14E-16,1,1.26E-04,-0.58,6.68E-02,
M744_RS05995,gTSS+1164133,cpcG,11172.37,-3.79,2.30E-47,-2.36,2.55E-19,phycobilisome rod-core linker polypeptide CpcG
M744_RS06005,gTSS-1167874,rfbW,2367.1,3.13,1.09E-49,-0.08,7.49E-01,mannosyltransferase
M744_RS06015,gTSS-11700582129.23 ,-4.37,8.45E-39,0.69,1.42E-02,-0.87,6.53E-03,
M744_RS06020,gTSS-1171170,rfaG,1642.09,2.1,7.27E-23,2.22,4.88E-25,glycosyl transferase
M744_RS06030,gTSS+117213314095.33 ,3.8,5.10E-86,2.77,1.77E-45,-0.32,2.22E-01,
M744_RS06045,gTSS+1174412,infB,4610.57,1.84,6.05E-17,1.14,4.61E-07,translation initiation factor IF-2
M744_RS06050,gTSS+11775892595.80 ,-0.12,5.69E-01,0.27,2.12E-01,-0.38,1.36E-01,
M744_RS06065,gTSS-11794171902.91 ,0.55,1.91E-02,0.65,6.87E-03,-0.82,2.47E-03,
M744_RS06075,gTSS+1179761,ycf66,59213.83,2.18,3.59E-32,0.15,4.86E-01,hypothetical protein
M744_RS06090,gTSS-1183042,spoIID,640.86,-2.72,4.03E-13,1,1.70E-03,sporulation protein
M744_RS06105,gTSS-1188108996.34 ,-2.66,6.41E-19,1.08,1.36E-05,-0.08,8.33E-01,
M744_RS06110,gTSS-11886284575.85 ,-0.83,6.61E-05,0.35,1.13E-01,-0.45,8.18E-02,
M744_RS06115,gTSS+1188674,coaD,1696.32,0.45,5.04E-02,-0.14,5.95E-01,phosphopantetheine adenylyltransferase
M744_RS06125,gTSS-11909122154.39 ,7.05,3.01E-101,-0.26,6.31E-01,0.07,9.29E-01,
M744_RS06130,gTSS-1191468,sigI,4183.59,-1.79,9.72E-15,1.31,5.28E-09,RNA polymerase sigma factor
M744_RS06140,gTSS-11931621390.81 ,2.22,2.63E-19,-0.39,1.61E-01,-0.13,7.43E-01,
M744_RS06150,gTSS+1194219,"mrcB, ponB",2070.33,-0.07,7.44E-01,1.03,8.89E-07,penicillin-binding protein
M744_RS06155,gTSS+1196615,rbp2,79795.98,-2.43,2.33E-31,1.81,1.30E-17,RNA-binding protein
M744_RS06160,gTSS-1197957728.85 ,-2.74,3.98E-19,0.41,1.30E-01,0.49,1.19E-01,
M744_RS06165,gTSS+1198076,hliA,7130.37,-0.7,2.85E-01,3.87,1.08E-09,high light inducible protein
M744_RS06170,gTSS+11983963114.48 ,-3.16,5.88E-30,1.55,1.04E-10,-0.2,5.70E-01,
M744_RS06175,gTSS+1198893,hisIE,2410.73,-0.15,5.22E-01,1.43,6.99E-11,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase
M744_RS06185,gTSS-1200937768.64 ,-1.53,3.52E-04,3.3,3.43E-29,-0.85,3.38E-02,
M744_RS06195,gTSS+12021254944.74 ,-2.8,1.23E-22,-0.74,1.24E-02,0.68,4.93E-02,
M744_RS06200,gTSS+12029251276.74 ,-2.71,4.38E-09,2.75,4.54E-15,-1.78,2.43E-05,
M744_RS06215,gTSS-1206676,rpaC,22727.41,2.08,1.20E-14,-4.22,2.27E-52,hypothetical protein
M744_RS06220,gTSS+1206598,pqqL,560.5,-0.47,8.30E-02,-0.66,1.52E-02,peptidase M16
M744_RS06230,gTSS-1210143,pys,2812.02,-0.17,5.10E-01,0.54,3.34E-02,phytoene synthase
M744_RS06235,gTSS-1211520,pds,6008.36,-2.96,4.07E-27,2.62,3.28E-28,15-cis-phytoene desaturase
M744_RS06240,gTSS+12116157455.25 ,-2.66,6.15E-33,-0.13,6.12E-01,-0.3,3.12E-01,
M744_RS06255,gTSS+12137131946.55 ,-2.63,9.57E-15,2.98,2.51E-36,-0.85,3.71E-03,
M744_RS06260,gTSS+1214470,trx,3278.63,-1.99,3.36E-22,-0.38,7.67E-02,thiol reductase thioredoxin
M744_RS06270,gTSS+1217052,ndhD1,638.13,2.07,1.11E-11,-4.11,1.95E-16,NAD(P)H-quinone oxidoreductase chain 4 2
M744_RS06275,gTSS+12186913665.48 ,-4.56,2.95E-39,1.26,2.80E-05,-0.21,6.20E-01,
M744_RS06285,gTSS+12200983454.88 ,-3.26,1.44E-26,2.5,1.61E-26,-0.31,3.31E-01,
M744_RS06290,gTSS+12213971631.11 ,-1.98,1.11E-14,1.67,4.97E-14,-0.41,1.59E-01,
M744_RS06300,gTSS-122402428990.05 ,0.81,6.31E-04,2.31,1.87E-22,-0.89,1.30E-03,
M744_RS06310,gTSS-1226743,cacA,1499.34,-4.12,3.44E-21,2.11,3.73E-16,undecaprenyl-diphosphatase
M744_RS06325,gTSS+1228817,ubiA,7951.91,-0.75,3.94E-04,1.3,8.06E-10,4-hydroxybenzoate octaprenyltransferase
M744_RS06335,gTSS-1231065,psbY,1555.87,-1.42,4.62E-08,-0.6,2.48E-02,photosystem II protein Y
M744_RS06345,gTSS+1231754523.60 ,0.54,7.74E-02,-0.6,6.22E-02,-0.76,3.92E-02,
M744_RS06350,gTSS-1234158,proS,2735.15,-3.16,2.92E-31,1.87,7.97E-18,proline--tRNA ligase
M744_RS06360,gTSS+123479588431.79 ,-2.08,7.32E-04,2.88,4.27E-06,-1.38,6.93E-02,
M744_RS06370,gTSS+1236614,pyrG,7639.47,-3.04,3.16E-28,3.5,1.02E-59,CTP synthetase
M744_RS06390,gTSS-1239662920.37 ,0.61,2.02E-02,0.84,1.55E-03,-0.73,1.97E-02,
M744_RS06395,gTSS-1240131972.28 ,-2.41,4.83E-07,2.99,2.67E-19,-0.29,5.71E-01,
M744_RS06410,gTSS+12409022032.58 ,0.26,3.30E-01,-0.17,5.68E-01,-0.47,1.55E-01,
M744_RS06415,gTSS+12424793647.00 ,2.95,1.08E-40,-2.71,2.27E-25,1.03,5.78E-05,
M744_RS06420,gTSS+1243028,uvrC,773.63,0.09,7.63E-01,1.4,9.31E-08,UvrABC system protein C
M744_RS06425,gTSS-1246144,"pdhA, aroA",11897.92,-2.1,1.20E-23,1.51,4.22E-13,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
M744_RS06440,gTSS-12498101401.52 ,-2.5,5.09E-18,1.53,2.58E-10,0.39,2.12E-01,
M744_RS06460,gTSS+1253326,"msrA, pms",2038.82,-0.5,4.65E-02,-0.15,5.94E-01,peptide-methionine (S)-S-oxide reductase
M744_RS06465,gTSS+1254186716.92 ,-1.18,2.82E-05,-0.53,6.31E-02,-0.07,8.82E-01,
M744_RS06475,gTSS-1257297,"dacB, pbp",5901.38,1.09,6.64E-02,-0.34,6.17E-01,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
M744_RS06485,gTSS-12584462049.37 ,-2.43,2.59E-19,1.65,1.78E-12,-0.19,5.72E-01,
M744_RS06495,gTSS-12607041750.78 ,4.72,3.39E-64,-0.97,6.93E-03,0.98,4.50E-03,
M744_RS06510,gTSS-1262512,dapF,1762.57,-2.71,2.68E-21,1.73,8.16E-14,diaminopimelate epimerase
M744_RS06520,gTSS+12625931379.56 ,-2.32,6.67E-17,0.97,1.22E-04,0.14,7.08E-01,
M744_RS06535,gTSS+126527732275.81 ,3.82,1.30E-89,0.13,5.61E-01,-0.08,8.12E-01,
M744_RS06565,gTSS+1272170,sppA,5448.69,0.35,1.05E-01,0.24,2.85E-01,signal peptide peptidase SppA
M744_RS06570,gTSS+1273039,aroH,2061.35,-1.91,1.09E-15,0.76,1.08E-03,chorismate mutase
M744_RS06575,gTSS-12740975272.87 ,2.14,1.65E-25,-1.7,3.84E-15,0.12,7.01E-01,
M744_RS06580,gTSS-12745151895.64 ,-1.44,1.07E-10,0.43,5.75E-02,0.03,9.47E-01,
M744_RS06585,gTSS-127476935662.39 ,-1.55,9.42E-11,-2.18,1.34E-19,0.61,3.90E-02,
M744_RS06590,gTSS+1274777,phoU,18710.52,0.81,5.05E-03,2.07,8.90E-13,phosphate transport system regulatory protein PhoU
M744_RS06595,gTSS+1275573,zam,7160.32,-0.46,2.75E-02,0.78,1.97E-04,cold-shock protein
M744_RS06610,gTSS+12793524403.59 ,-0.72,1.29E-03,-0.49,3.51E-02,-0.9,3.73E-04,
M744_RS06615,gTSS+1279896,"acsF, ycf59",1360.04,-0.37,9.66E-02,-1.03,3.68E-06,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
M744_RS06620,gTSS+12811864194.57 ,0.34,1.12E-01,1.78,6.54E-18,0.35,1.98E-01,
M744_RS06625,gTSS+1281884,hlyB,714.73,-5.09,3.49E-06,3.14,3.58E-23,peptidase C39
M744_RS06630,gTSS+1284768,hlyD,1193.89,-1.7,4.97E-07,2.31,2.79E-16,HlyD family type I secretion periplasmic adaptor subunit
M744_RS06650,gTSS-1291824,dcd,590.14,0.58,2.19E-02,0.49,5.68E-02,deoxycytidine triphosphate deaminase
M744_RS06660,gTSS+1292212,leuC,15026.17,1.65,1.87E-18,1.6,9.35E-17,3-isopropylmalate dehydratase large subunit
M744_RS06665,gTSS+12927351203.84 ,-0.32,1.78E-01,0.12,6.37E-01,-0.59,3.24E-02,
M744_RS06670,gTSS+1294549,argJ,531.06,-2.95,4.18E-07,2.25,7.73E-09,bifunctional glutamate N-acetyltransferase/amino-acid N-acetyltransferase
M744_RS06680,gTSS+1296824,natC,869.9,-1.96,2.01E-14,-0.1,7.16E-01,branched-chain amino acid ABC transporter
