Locus_tag,Chrs,Start,End,Strand,ID,Type,Old_locus_tag,Product,ProAccNo
M744_RS07560,CP006471,1474161,1475438,+,gene1518,protein_coding,M744_07900,FAD-binding oxidoreductase,WP_011378157.1
M744_RS07565,CP006471,1475435,1476742,+,gene1519,protein_coding,M744_07905,glycolate oxidase,WP_011244684.1
M744_RS07570,CP006471,1476811,1480527,+,gene1520,protein_coding,M744_07910,GGDEF domain-containing protein,WP_011378155.1
M744_RS07575,CP006471,1480563,1481216,+,gene1521,protein_coding,M744_07915,uracil phosphoribosyltransferase,WP_011244686.1
M744_RS07580,CP006471,1481234,1482250,-,gene1522,protein_coding,M744_07920,hypothetical protein,WP_011378154.1
M744_RS07585,CP006471,1482247,1483149,-,gene1523,protein_coding,M744_07925,hydrocarbon oxygenase MocD,WP_011378153.1
M744_RS07590,CP006471,1483248,1483613,-,gene1524,protein_coding,M744_07930,DUF1818 domain-containing protein,WP_011244689.1
M744_RS07595,CP006471,1483619,1484191,-,gene1525,protein_coding,M744_07935,hypothetical protein,WP_011244690.1
M744_RS07600,CP006471,1484188,1484418,-,gene1526,protein_coding,M744_07940,DNA-directed RNA polymerase subunit omega,WP_011244691.1
M744_RS07605,CP006471,1484577,1486118,+,gene1527,protein_coding,M744_07945,GTP-binding protein,WP_011378152.1
M744_RS07610,CP006471,1486240,1488267,-,gene1528,protein_coding,M744_07950,M3 family peptidase,WP_011378151.1
M744_RS07615,CP006471,1488402,1488833,-,gene1529,protein_coding,M744_07955,hypothetical protein,WP_011244694.1
M744_RS07620,CP006471,1489040,1491232,-,gene1530,protein_coding,M744_07960,DUF3769 domain-containing protein,WP_011244695.1
M744_RS13725,CP006471,1491401,1491520,-,gene1531,protein_coding,,photosystem II reaction center protein I,WP_011244696.1
M744_RS07625,CP006471,1491633,1492442,-,gene1532,protein_coding,M744_07970,hypothetical protein,WP_011244697.1
M744_RS07630,CP006471,1492449,1495526,+,gene1533,protein_coding,M744_07975,alpha-mannosidase,WP_011378150.1
M744_RS07635,CP006471,1495977,1496513,-,gene1534,protein_coding,M744_07985,TIGR04376 family protein,WP_011244699.1
M744_RS07640,CP006471,1496617,1497561,+,gene1535,protein_coding,M744_07990,GDP-L-fucose synthase,WP_011244700.1
M744_RS07645,CP006471,1497608,1499002,+,gene1536,protein_coding,M744_07995,multidrug resistance protein NorM,WP_011244701.1
M744_RS07650,CP006471,1499038,1499379,-,gene1537,protein_coding,M744_08000,transcriptional regulator,WP_011244702.1
M744_RS07655,CP006471,1499574,1499855,+,gene1538,protein_coding,M744_08005,CDGSH iron-sulfur domain-containing protein,WP_011244703.1
M744_RS07660,CP006471,1500014,1500754,+,gene1539,protein_coding,M744_08010,pirin family protein,WP_011378147.1
M744_RS07665,CP006471,1500829,1501827,-,gene1540,protein_coding,M744_08015,curli assembly protein CsgF,WP_011378146.1
M744_RS07670,CP006471,1501960,1504536,-,gene1541,protein_coding,M744_08020,topoisomerase IV,WP_011378145.1
M744_RS07675,CP006471,1504647,1505048,+,gene1542,protein_coding,M744_08025,response regulator,WP_011244707.1
M744_RS07680,CP006471,1505137,1506048,+,gene1543,protein_coding,M744_08030,restriction endonuclease,WP_011244708.1
M744_RS07685,CP006471,1506151,1507311,-,gene1544,protein_coding,M744_08035,YeeE/YedE family protein,WP_011378144.1
M744_RS07690,CP006471,1507589,1508551,-,gene1545,protein_coding,M744_08040,sulfurtransferase,WP_011244711.1
M744_RS07695,CP006471,1508693,1509553,-,gene1546,protein_coding,M744_08045,sulfate ABC transporter permease subunit CysW,WP_011244712.1
M744_RS07700,CP006471,1509553,1510419,-,gene1547,protein_coding,M744_08050,sulfate ABC transporter permease subunit CysT,WP_011378142.1
M744_RS07705,CP006471,1510419,1511444,-,gene1548,protein_coding,M744_08055,sulfate ABC transporter substrate-binding protein,WP_011244714.1
M744_RS07710,CP006471,1511604,1512464,-,gene1549,protein_coding,M744_08060,sulfate ABC transporter permease,WP_011244715.1
M744_RS07715,CP006471,1512510,1513130,-,gene1550,protein_coding,M744_08065,regulatory protein CysR,WP_011244716.1
M744_RS07720,CP006471,1513158,1513403,-,gene1551,protein_coding,M744_08070,hypothetical protein,WP_011378141.1
M744_RS07725,CP006471,1513427,1514263,-,gene1552,protein_coding,M744_08075,sulfate ABC transporter permease,WP_011378140.1
M744_RS07730,CP006471,1514338,1515390,-,gene1553,protein_coding,M744_08080,sulfate-binding protein,WP_011378139.1
M744_RS07735,CP006471,1515608,1516624,+,gene1554,protein_coding,M744_08085,sulfate ABC transporter ATP-binding protein,WP_011378138.1
M744_RS07740,CP006471,1516876,1517214,-,gene1555,protein_coding,M744_08090,photosystem II reaction center protein Psb28,WP_011244721.1
M744_RS07745,CP006471,1517313,1517855,+,gene1556,protein_coding,M744_08095,photosystem II protein PsbQ,WP_011244722.1
M744_RS07750,CP006471,1517869,1518966,+,gene1557,protein_coding,M744_08100,FAD-dependent oxidoreductase,WP_011244723.1
M744_RS07755,CP006471,1518997,1519650,+,gene1558,protein_coding,M744_08105,hypothetical protein,WP_011244724.1
M744_RS07760,CP006471,1519700,1520185,+,gene1559,protein_coding,M744_08110,hypothetical protein,WP_011244725.1
M744_RS07765,CP006471,1520300,1520611,+,gene1560,protein_coding,M744_08115,hypothetical protein,WP_011244726.1
M744_RS07770,CP006471,1520612,1521277,+,gene1561,protein_coding,M744_08120,cofactor assembly of complex C subunit B,WP_011244727.1
M744_RS07775,CP006471,1521233,1521958,-,gene1562,protein_coding,M744_08125,D-alanyl-D-alanine carboxypeptidase,WP_011244728.1
M744_RS07780,CP006471,1522019,1522630,-,gene1563,protein_coding,M744_08130,K(+)-transporting ATPase subunit C,WP_011378137.1
M744_RS13845,CP006471,1522633,1522779,-,gene1564,protein_coding,,K+-transporting ATPase subunit F,WP_011378136.1
M744_RS07785,CP006471,1522781,1524871,-,gene1565,protein_coding,M744_08140,K(+)-transporting ATPase subunit B,WP_011244730.1
M744_RS07790,CP006471,1524914,1526584,-,gene1566,protein_coding,M744_08145,potassium-transporting ATPase subunit A,WP_011244731.1
M744_RS07795,CP006471,1527110,1528501,-,gene1567,protein_coding,M744_08150,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,WP_011244732.1
M744_RS07800,CP006471,1528607,1529311,+,gene1568,protein_coding,M744_08155,hypothetical protein,WP_011244733.1
M744_RS07805,CP006471,1529362,1530477,-,gene1569,protein_coding,M744_08160,gfo/Idh/MocA family oxidoreductase,WP_011378135.1
M744_RS07810,CP006471,1530482,1530676,-,gene1570,protein_coding,M744_08165,hypothetical protein,WP_011378134.1
M744_RS13595,CP006471,1530706,1531065,+,gene1571,protein_coding,M744_08170,hypothetical protein,WP_011378133.1
M744_RS07820,CP006471,1531219,1532655,+,gene1572,protein_coding,M744_08175,cysteine--tRNA ligase,WP_011244736.1
M744_RS07825,CP006471,1532744,1533307,-,gene1573,protein_coding,M744_08180,hypothetical protein,WP_011244737.1
M744_RS07830,CP006471,1533502,1534377,-,gene1574,protein_coding,M744_08185,potassium channel protein,WP_011244738.1
M744_RS07835,CP006471,1534435,1535082,-,gene1575,protein_coding,M744_08190,NAD(P)H-dependent oxidoreductase,WP_011244739.1
M744_RS07840,CP006471,1535220,1535678,+,gene1576,protein_coding,M744_08195,DUF2214 domain-containing protein,WP_011378131.1
M744_RS07845,CP006471,1535792,1536013,-,gene1577,protein_coding,M744_08200,hypothetical protein,WP_011378130.1
M744_RS07850,CP006471,1536385,1538547,+,gene1578,protein_coding,M744_08205,catalase-peroxidase,WP_011244741.1
M744_RS07855,CP006471,1538637,1539206,+,gene1579,protein_coding,M744_08210,hypothetical protein,WP_011378129.1
M744_RS07860,CP006471,1539234,1539617,+,gene1580,protein_coding,M744_08215,hypothetical protein,WP_011244742.1
M744_RS07865,CP006471,1539730,1540926,+,gene1581,protein_coding,M744_08220,glycerol dehydrogenase,WP_011378128.1
M744_RS07870,CP006471,1541034,1542674,-,gene1582,protein_coding,M744_08225,radical SAM protein,WP_011378127.1
M744_RS07875,CP006471,1542671,1543417,-,gene1583,protein_coding,M744_08230,glycosyltransferase,WP_071818120.1
M744_RS07880,CP006471,1543520,1546759,+,gene1584,protein_coding,M744_08235,glycosyl hydrolase family 15,WP_011378125.1
M744_RS07885,CP006471,1546962,1547678,-,gene1585,protein_coding,M744_08240,rubrerythrin,WP_011244747.1
M744_RS07890,CP006471,1547828,1548277,+,gene1586,protein_coding,M744_08245,transcriptional repressor,WP_011244748.1
M744_RS07895,CP006471,1548280,1549200,-,gene1587,protein_coding,M744_08250,hypothetical protein,WP_011378124.1
M744_RS07900,CP006471,1549396,1550118,-,gene1588,protein_coding,M744_08255,hypothetical protein,WP_011244750.1
M744_RS07905,CP006471,1550391,1551134,-,gene1589,protein_coding,M744_08260,ribonuclease III,WP_011244751.1
RNase_P_RNA,CP006471,1551153,1551524,-,gene1590,rnpB,M744_RS13610,,
M744_RS07910,CP006471,1551649,1552452,-,gene1591,protein_coding,M744_08265,hypothetical protein,WP_011378123.1
M744_RS07915,CP006471,1552593,1554113,-,gene1592,protein_coding,M744_08270,histidine kinase,WP_011244753.1
M744_RS07920,CP006471,1554216,1555286,-,gene1593,protein_coding,M744_08275,TIGR00341 family protein,WP_011244754.1
M744_RS07925,CP006471,1555301,1555801,-,gene1594,protein_coding,M744_08280,hypothetical protein,WP_011378122.1
M744_RS07930,CP006471,1556052,1556585,-,gene1595,protein_coding,M744_08285,NYN domain-containing protein,WP_011378121.1
M744_RS07935,CP006471,1556690,1557331,-,gene1596,protein_coding,M744_08290,LuxR family transcriptional regulator,WP_011244756.1
M744_RS07940,CP006471,1557515,1557781,-,gene1597,protein_coding,M744_08295,hypothetical protein,WP_011378120.1
M744_RS07945,CP006471,1557982,1559040,+,gene1598,protein_coding,M744_08300,photosystem II reaction center D2 protein,WP_011243185.1
M744_RS07950,CP006471,1559453,1559860,+,gene1599,protein_coding,M744_08305,4a-hydroxytetrahydrobiopterin dehydratase,WP_011378119.1
M744_RS07955,CP006471,1559931,1561640,+,gene1600,protein_coding,M744_08310,porin,WP_082023521.1
M744_RS07960,CP006471,1561877,1563472,+,gene1601,protein_coding,M744_08315,porin,WP_011378043.1
M744_RS07965,CP006471,1563634,1564089,+,gene1602,protein_coding,M744_08320,Rrf2 family transcriptional regulator,WP_011244762.1
M744_RS07970,CP006471,1564304,1565308,+,gene1603,protein_coding,M744_08325,cysteine synthase A,WP_011244763.1
M744_RS07975,CP006471,1565314,1566003,+,gene1604,protein_coding,M744_08330,J domain-containing protein,WP_011378044.1
M744_RS07980,CP006471,1566122,1566781,-,gene1605,protein_coding,M744_08335,cation:proton antiporter,WP_011244765.1
M744_RS07985,CP006471,1566778,1567359,-,gene1606,protein_coding,M744_08340,hypothetical protein,WP_011378045.1
M744_RS13735,CP006471,1567352,1567645,-,gene1607,protein_coding,,hypothetical protein,WP_011244767.1
M744_RS07990,CP006471,1567642,1567899,-,gene1608,protein_coding,M744_08345,hypothetical protein,WP_011244768.1
M744_RS07995,CP006471,1567896,1568282,-,gene1609,protein_coding,M744_08350,cation:proton antiporter,WP_011378046.1
M744_RS08000,CP006471,1568279,1569721,-,gene1610,protein_coding,M744_08355,cation:proton antiporter,WP_011378047.1
M744_RS08005,CP006471,1569718,1570053,-,gene1611,protein_coding,M744_08360,cation:proton antiporter,WP_011244770.1
M744_RS08010,CP006471,1570473,1571594,-,gene1612,protein_coding,M744_08365,sodium-dependent bicarbonate transport family permease,WP_011244771.1
M744_RS08015,CP006471,1572357,1572671,+,gene1613,protein_coding,M744_08370,hypothetical protein,WP_011244772.1
M744_RS08020,CP006471,1572782,1574977,-,gene1614,protein_coding,M744_08375,hypothetical protein,WP_011378048.1
M744_RS08025,CP006471,1575055,1575492,-,gene1615,protein_coding,,cytochrome CytM,WP_011378049.1
M744_RS08030,CP006471,1575610,1575723,+,gene1616,protein_coding,M744_08385,cytochrome b6-f complex subunit 5,WP_011378050.1
M744_RS08035,CP006471,1575834,1576388,-,gene1617,protein_coding,M744_08390,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,WP_011244776.1
M744_RS08040,CP006471,1576385,1577038,-,gene1618,protein_coding,M744_08395,imidazole glycerol phosphate synthase subunit HisH,WP_011244777.1
M744_RS08045,CP006471,1577245,1578810,+,gene1619,protein_coding,M744_08400,DUF3370 domain-containing protein,WP_011244778.1
M744_RS08050,CP006471,1579089,1579517,-,gene1620,protein_coding,M744_08405,HIT family protein,WP_011244779.1
M744_RS08055,CP006471,1579514,1581007,-,gene1621,protein_coding,M744_08410,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,WP_011378051.1
M744_RS08060,CP006471,1581047,1581313,-,gene1622,protein_coding,M744_08415,glutaredoxin family protein,WP_011244781.1
M744_RS08065,CP006471,1581304,1581552,-,gene1623,protein_coding,M744_08420,membrane protein insertion efficiency factor YidD,WP_011244782.1
M744_RS08070,CP006471,1581626,1582234,+,gene1624,protein_coding,M744_08425,30S ribosomal protein S4,WP_011244783.1
M744_RS08075,CP006471,1583185,1584537,+,gene1625,protein_coding,M744_08435,bicarbonate-binding protein CmpA,WP_011378052.1
M744_RS08080,CP006471,1584593,1585429,+,gene1626,protein_coding,M744_08440,bicarbonate ABC transporter permease,WP_011244785.1
M744_RS08085,CP006471,1585458,1587449,+,gene1627,protein_coding,M744_08445,bicarbonate transport ATP-binding protein CmpC,WP_011244786.1
M744_RS08090,CP006471,1587474,1588310,+,gene1628,protein_coding,M744_08450,bicarbonate transport ATP-binding protein CmpD,WP_011244787.1
M744_RS08095,CP006471,1588578,1589147,+,gene1629,protein_coding,M744_08455,hypothetical protein,WP_011244788.1
M744_RS08100,CP006471,1589154,1589993,+,gene1630,protein_coding,M744_08460,nucleoside triphosphate pyrophosphohydrolase,WP_011378054.1
M744_RS08105,CP006471,1590022,1590735,-,gene1631,protein_coding,M744_08465,DUF3153 domain-containing protein,WP_011244790.1
M744_RS08110,CP006471,1590763,1591290,-,gene1632,protein_coding,M744_08470,hypothetical protein,WP_011244791.1
M744_RS08115,CP006471,1591287,1592192,-,gene1633,protein_coding,M744_08475,acetylglutamate kinase,WP_011244792.1
M744_RS08120,CP006471,1592185,1592745,-,gene1634,protein_coding,M744_08480,DUF2854 domain-containing protein,WP_011244793.1
M744_RS08125,CP006471,1592847,1593050,+,gene1635,protein_coding,M744_08485,hypothetical protein,WP_011378055.1
M744_RS08130,CP006471,1593271,1593570,-,gene1636,protein_coding,M744_08495,Ferredoxin-1,WP_011244794.1
M744_RS08135,CP006471,1593819,1594718,-,gene1637,protein_coding,M744_08500,50S ribosomal protein L11 methyltransferase,WP_011244795.1
M744_RS08140,CP006471,1594718,1596307,-,gene1638,protein_coding,M744_08505,phosphoglycerate dehydrogenase,WP_039755951.1
M744_RS08145,CP006471,1596430,1596942,+,gene1639,protein_coding,M744_08510,hypothetical protein,WP_039755953.1
M744_RS08150,CP006471,1596943,1597722,+,gene1640,protein_coding,M744_08515,photosystem II S4 domain protein,WP_011378057.1
M744_RS08155,CP006471,1597970,1599358,+,gene1641,protein_coding,M744_08520,DUF2252 domain-containing protein,WP_011244799.1
M744_RS08160,CP006471,1599479,1600576,-,gene1642,protein_coding,M744_08525,3-isopropylmalate dehydrogenase,WP_011378058.1
M744_RS08165,CP006471,1600737,1601153,-,gene1643,protein_coding,M744_08530,TerB family tellurite resistance protein,WP_011244801.1
M744_RS08170,CP006471,1601886,1601957,+,gene1644,tRNA,M744_08535,,
M744_RS08175,CP006471,1602036,1602971,-,gene1645,protein_coding,M744_08540,lipoyl synthase,WP_011378059.1
M744_RS08180,CP006471,1603124,1603849,-,gene1646,protein_coding,M744_08545,hypothetical protein,WP_011378060.1
M744_RS08185,CP006471,1603969,1605042,+,gene1647,protein_coding,M744_08550,tRNA 2-thiouridine(34) synthase MnmA,WP_011244804.1
M744_RS08190,CP006471,1605039,1605818,-,gene1648,protein_coding,M744_08555,RNA polymerase sigma factor SigF,WP_011244805.1
M744_RS08195,CP006471,1606107,1606544,-,gene1649,protein_coding,M744_08560,membrane protein,WP_011244806.1
M744_RS08200,CP006471,1606584,1608029,-,gene1650,protein_coding,M744_08565,zeta-carotene desaturase,WP_011378061.1
M744_RS08205,CP006471,1608172,1609380,+,gene1651,protein_coding,M744_08570,1-deoxy-D-xylulose-5-phosphate reductoisomerase,WP_011244808.1
M744_RS08210,CP006471,1609390,1609989,+,gene1652,protein_coding,M744_08575,pseudouridine synthase,WP_011244809.1
M744_RS08215,CP006471,1610031,1610930,+,gene1653,protein_coding,M744_08580,protein phosphatase,WP_011378062.1
M744_RS08220,CP006471,1610964,1611611,-,gene1654,protein_coding,M744_08585,histidine phosphatase family protein,WP_011244811.1
M744_RS08225,CP006471,1611583,1612956,-,gene1655,protein_coding,M744_08590,sensor histidine kinase,WP_011244812.1
M744_RS08230,CP006471,1613267,1615567,+,gene1656,protein_coding,M744_08595,ATP-dependent helicase,WP_011244813.1
M744_RS08235,CP006471,1615616,1616920,-,gene1657,protein_coding,M744_08600,histidinol dehydrogenase,WP_011244814.1
M744_RS08240,CP006471,1617126,1617422,+,gene1658,protein_coding,M744_08605,30S ribosomal protein S20,WP_011244815.1
M744_RS08245,CP006471,1617489,1618286,+,gene1659,protein_coding,M744_08610,TatD family deoxyribonuclease,WP_011378063.1
M744_RS08250,CP006471,1618369,1621671,+,gene1660,protein_coding,M744_08615,DNA-directed RNA polymerase subunit beta,WP_039755689.1
M744_RS08255,CP006471,1621790,1623664,+,gene1661,protein_coding,M744_08620,DNA-directed RNA polymerase subunit gamma,WP_011378065.1
M744_RS08260,CP006471,1623734,1627690,+,gene1662,protein_coding,M744_08625,DNA-directed RNA polymerase subunit beta',WP_011378066.1
M744_RS08265,CP006471,1628047,1629840,+,gene1663,protein_coding,M744_08630,translational GTPase TypA,WP_011378067.1
M744_RS08270,CP006471,1629927,1630718,+,gene1664,protein_coding,M744_08635,hypothetical protein,WP_011244822.1
M744_RS08275,CP006471,1630883,1633399,+,gene1665,protein_coding,M744_08640,ATPase AAA,WP_011244823.1
M744_RS08280,CP006471,1633457,1633786,-,gene1666,protein_coding,M744_08645,DUF2499 domain-containing protein,WP_011244824.1
M744_RS08285,CP006471,1633844,1634863,+,gene1667,protein_coding,M744_08650,polysaccharide pyruvyl transferase CsaB,WP_011244825.1
M744_RS08290,CP006471,1634923,1635348,-,gene1668,protein_coding,M744_08655,molybdenum-pterin-binding protein,WP_011244826.1
M744_RS08295,CP006471,1635439,1636254,+,gene1669,protein_coding,M744_08660,molybdate ABC transporter substrate-binding protein,WP_011244827.1
M744_RS08300,CP006471,1636251,1636916,+,gene1670,protein_coding,M744_08665,molybdate ABC transporter permease subunit,WP_011244828.1
M744_RS08305,CP006471,1636972,1637733,+,gene1671,protein_coding,M744_08670,succinate dehydrogenase/fumarate reductase iron-sulfur subunit,WP_011244829.1
M744_RS08310,CP006471,1637855,1640062,+,gene1672,protein_coding,M744_08675,hypothetical protein,WP_011378069.1
M744_RS08315,CP006471,1640099,1640584,+,gene1673,protein_coding,M744_08680,Rubisco chaperonin,WP_011244831.1
M744_RS08320,CP006471,1640574,1641254,+,gene1674,protein_coding,M744_08685,type 1 glutamine amidotransferase,WP_011378071.1
M744_RS08325,CP006471,1641641,1642006,+,gene1675,protein_coding,M744_08695,hypothetical protein,WP_011244833.1
M744_RS13740,CP006471,1642156,1642458,-,gene1676,protein_coding,,hypothetical protein,WP_011244834.1
M744_RS13745,CP006471,1642496,1643206,-,gene1677,protein_coding,,hypothetical protein,WP_011244835.1
M744_RS08330,CP006471,1643296,1643808,-,gene1678,protein_coding,M744_08700,flavodoxin,WP_011242314.1
M744_RS08335,CP006471,1643993,1645021,-,gene1679,protein_coding,M744_08705,iron stress-induced chlorophyll-binding protein,WP_011242315.1
M744_RS08340,CP006471,1645442,1645693,+,gene1680,protein_coding,M744_08715,pantothenate metabolism flavoprotein,WP_011378075.1
M744_RS08345,CP006471,1645696,1646151,+,gene1681,protein_coding,M744_08720,PIN domain-containing protein,WP_011242317.1
M744_RS08350,CP006471,1646129,1647526,+,gene1682,protein_coding,M744_08725,RNB domain-containing ribonuclease,WP_011242318.1
M744_RS08355,CP006471,1647675,1648055,-,gene1683,protein_coding,M744_08730,hypothetical protein,WP_011378076.1
M744_RS08360,CP006471,1648959,1650278,-,gene1684,protein_coding,M744_08735,amidase,WP_011378077.1
M744_RS08365,CP006471,1650769,1651329,+,gene1685,protein_coding,M744_08740,DNA polymerase V,WP_011242320.1
M744_RS08370,CP006471,1651386,1652642,+,gene1686,protein_coding,M744_08745,translesion error-prone DNA polymerase V subunit UmuC,WP_011378078.1
M744_RS08375,CP006471,1652692,1653456,+,gene1687,protein_coding,M744_08750,hypothetical protein,WP_011242322.1
M744_RS08380,CP006471,1654013,1655005,-,gene1688,protein_coding,M744_08755,ketol-acid reductoisomerase,WP_039755692.1
M744_RS08385,CP006471,1655004,1655897,+,gene1689,protein_coding,M744_08760,PHP domain-containing protein,WP_011242324.1
M744_RS08390,CP006471,1655900,1656493,-,gene1690,protein_coding,M744_08765,ATP-dependent Clp protease proteolytic subunit,WP_011242325.1
M744_RS08395,CP006471,1656546,1657388,+,gene1691,protein_coding,M744_08770,photosystem II biogenesis protein Psp29,WP_011242326.1
M744_RS08400,CP006471,1657426,1658088,+,gene1692,protein_coding,M744_08775,hypothetical protein,WP_011242327.1
M744_RS08405,CP006471,1658104,1659036,-,gene1693,protein_coding,M744_08780,RNA polymerase sigma factor%2C RpoD/SigA family,WP_011378081.1
M744_RS08410,CP006471,1659241,1659426,+,gene1694,protein_coding,M744_08785,hypothetical protein,WP_039755693.1
M744_RS08415,CP006471,1659844,1660911,+,gene1695,protein_coding,M744_08790,hypothetical protein,WP_011378082.1
M744_RS08420,CP006471,1660924,1661598,+,gene1696,protein_coding,M744_08795,acyltransferase,WP_011242330.1
M744_RS08425,CP006471,1662005,1662187,+,gene1697,protein_coding,M744_08810,hypothetical protein,WP_039755695.1
M744_RS08430,CP006471,1662821,1663366,-,gene1698,protein_coding,M744_08825,hypothetical protein,WP_011242332.1
M744_RS08435,CP006471,1663440,1664336,-,gene1699,protein_coding,M744_08830,ADP-ribosylglycohydrolase,WP_011378084.1
M744_RS08440,CP006471,1664865,1665053,+,gene1700,protein_coding,M744_08835,hypothetical protein,WP_039755696.1
M744_RS08450,CP006471,1665736,1666152,-,gene1701,protein_coding,M744_08845,ornithine acetyltransferase,WP_011242334.1
M744_RS08455,CP006471,1666543,1666860,+,gene1702,protein_coding,M744_08855,hypothetical protein,WP_011242335.1
M744_RS08460,CP006471,1667438,1667509,-,gene1703,tRNA,M744_08860,,
M744_RS08465,CP006471,1667583,1668050,+,gene1704,protein_coding,M744_08865,TerB family tellurite resistance protein,WP_081429505.1
M744_RS08470,CP006471,1668089,1670284,+,gene1705,protein_coding,M744_08870,polyphosphate kinase 1,WP_011378086.1
M744_RS08475,CP006471,1670342,1670659,-,gene1706,protein_coding,M744_08875,hypothetical protein,WP_011378087.1
M744_RS08480,CP006471,1670997,1671236,-,gene1707,protein_coding,M744_08885,hypothetical protein,WP_011242338.1
M744_RS08485,CP006471,1671294,1671812,-,gene1708,protein_coding,M744_08890,hypothetical protein,WP_011242339.1
M744_RS08490,CP006471,1671846,1674089,-,gene1709,protein_coding,M744_08895,copper-transporting ATPase PacS,WP_011378089.1
M744_RS08495,CP006471,1674703,1675512,+,gene1710,protein_coding,M744_08900,aquaporin family protein,WP_011242341.1
M744_RS08500,CP006471,1675979,1677565,+,gene1711,protein_coding,M744_08905,GMC family oxidoreductase,WP_011378090.1
M744_RS08505,CP006471,1677634,1678434,+,gene1712,protein_coding,M744_08910,3-oxoacyl-ACP reductase,WP_011242343.1
M744_RS08510,CP006471,1678535,1681207,+,gene1713,protein_coding,M744_08915,glucosidase,WP_011242344.1
M744_RS08515,CP006471,1681220,1683265,+,gene1714,protein_coding,M744_08920,glycogen debranching protein,WP_011378091.1
M744_RS08520,CP006471,1683308,1684699,+,gene1715,protein_coding,M744_08925,H(+)/Cl(-) exchange transporter ClcA,WP_011242346.1
M744_RS08525,CP006471,1684901,1686655,-,gene1716,protein_coding,M744_08930,arginine--tRNA ligase,WP_039755959.1
M744_RS08530,CP006471,1686812,1687651,-,gene1717,protein_coding,M744_08935,twin-arginine translocase subunit TatC,WP_011242348.1
M744_RS08535,CP006471,1688046,1688597,+,gene1718,protein_coding,M744_08945,protein phosphatase,WP_039755702.1
M744_RS08540,CP006471,1688651,1689076,-,gene1719,protein_coding,M744_08950,hypothetical protein,WP_011378094.1
M744_RS13755,CP006471,1689348,1689632,+,gene1720,pseudogene,,hypothetical protein,0
M744_RS08545,CP006471,1689782,1691461,+,gene1721,protein_coding,M744_08955,hypothetical protein,WP_011242351.1
M744_RS08550,CP006471,1691463,1692851,-,gene1722,protein_coding,M744_08960,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,WP_011378095.1
M744_RS08555,CP006471,1692850,1693386,+,gene1723,protein_coding,M744_08965,DUF2062 domain-containing protein,WP_011378096.1
M744_RS08560,CP006471,1693322,1694800,-,gene1724,protein_coding,M744_08970,YdiU family protein,WP_011378097.1
M744_RS08565,CP006471,1694841,1695653,-,gene1725,protein_coding,M744_08975,N-acetylmuramoyl-L-alanine amidase,WP_039755703.1
M744_RS08570,CP006471,1695999,1697309,+,gene1726,protein_coding,M744_08985,sensor histidine kinase,WP_011378099.1
M744_RS08575,CP006471,1697372,1697812,-,gene1727,protein_coding,M744_08990,DUF1036 domain-containing protein,WP_011378100.1
M744_RS08580,CP006471,1697895,1700474,-,gene1728,protein_coding,M744_08995,chloride channel protein,WP_011378101.1
M744_RS08585,CP006471,1700621,1701910,-,gene1729,protein_coding,M744_09000,TldD/PmbA family protein,WP_011378102.1
M744_RS08590,CP006471,1701914,1702771,-,gene1730,protein_coding,M744_09005,DUF1092 domain-containing protein,WP_011242360.1
M744_RS08595,CP006471,1702775,1703662,-,gene1731,protein_coding,M744_09010,30S ribosomal protein S1,WP_011242361.1
M744_RS08600,CP006471,1703759,1704574,+,gene1732,protein_coding,M744_09015,creatininase,WP_011378103.1
M744_RS08605,CP006471,1704665,1705360,+,gene1733,protein_coding,M744_09020,aldehyde oxygenase (deformylating),WP_011378104.1
M744_RS08610,CP006471,1705375,1706400,+,gene1734,protein_coding,M744_09025,long-chain acyl-[acyl-carrier-protein] reductase,WP_011242364.1
M744_RS08615,CP006471,1706410,1707393,+,gene1735,protein_coding,M744_09030,acetyl-CoA carboxylase carboxyl transferase subunit alpha,WP_011242365.1
M744_RS08620,CP006471,1707511,1708248,+,gene1736,protein_coding,M744_09035,NAD(P)-dependent oxidoreductase,WP_011242366.1
M744_RS08625,CP006471,1708297,1708938,+,gene1737,protein_coding,M744_09040,GTP cyclohydrolase I FolE,WP_011242367.1
M744_RS08630,CP006471,1708946,1709740,+,gene1738,protein_coding,M744_09045,PhzF family phenazine biosynthesis protein,WP_011242368.1
M744_RS08635,CP006471,1709737,1710822,+,gene1739,protein_coding,M744_09050,hypothetical protein,WP_011242369.1
M744_RS08640,CP006471,1710828,1711670,+,gene1740,protein_coding,M744_09055,5'%2C5'-P-1P-4-tetraphosphate phosphorylase,WP_011242370.1
M744_RS13760,CP006471,1711698,1711871,-,gene1741,protein_coding,,DUF2256 domain-containing protein,WP_011242371.1
M744_RS08645,CP006471,1711870,1712673,+,gene1742,protein_coding,M744_09065,rRNA methyltransferase,WP_011242372.1
M744_RS08650,CP006471,1712776,1713903,+,gene1743,protein_coding,M744_09075,serine hydrolase,WP_011378106.1
M744_RS08655,CP006471,1713913,1715265,+,gene1744,protein_coding,M744_09080,DUF3370 domain-containing protein,WP_011378107.1
